Time,IPAddress,Value,Type,Critic,Observe
52:44,fd00::c30c:0:0:1,11.0,temperature,0,4194304
52:46,fd00::c30c:0:0:1,19.0,temperature,0,7
52:48,fd00::c30c:0:0:1,26.0,temperature,0,8
52:52,fd00::c30c:0:0:1,32.0,temperature,1,9
52:56,fd00::c30c:0:0:1,39.0,temperature,1,11
52:58,fd00::c30c:0:0:1,38.0,temperature,1,12
53:0,fd00::c30c:0:0:1,34.0,temperature,1,13
53:1,fd00::c30c:0:0:1,29.0,temperature,0,14
53:4,fd00::c30c:0:0:1,22.0,temperature,0,15
53:6,fd00::c30c:0:0:1,14.0,temperature,0,16
53:8,fd00::c30c:0:0:1,6.0,temperature,0,17
53:12,fd00::c30c:0:0:1,-7.0,temperature,0,19
53:14,fd00::c30c:0:0:1,-13.0,temperature,0,20
53:16,fd00::c30c:0:0:1,-17.0,temperature,0,21
53:24,fd00::c30c:0:0:1,-13.0,temperature,0,22
53:26,fd00::c30c:0:0:1,-7.0,temperature,0,23
53:28,fd00::c30c:0:0:1,0.0,temperature,0,24
53:30,fd00::c30c:0:0:1,6.0,temperature,0,25
53:32,fd00::c30c:0:0:1,14.0,temperature,0,26
53:34,fd00::c30c:0:0:1,22.0,temperature,0,27
53:36,fd00::c30c:0:0:1,29.0,temperature,0,28
53:44,fd00::c30c:0:0:1,39.0,temperature,1,31
53:56,fd00::c30c:0:0:1,3.0,temperature,0,37
54:0,fd00::c30c:0:0:1,-10.0,temperature,0,39
54:2,fd00::c30c:0:0:1,-15.0,temperature,0,40
54:14,fd00::c30c:0:0:1,-5.0,temperature,0,43
54:18,fd00::c30c:0:0:1,10.0,temperature,0,45
54:22,fd00::c30c:0:0:1,2.0,temperature,0,46
54:24,fd00::c30c:0:0:1,-5.0,temperature,0,47
54:28,fd00::c30c:0:0:1,-16.0,temperature,0,49
54:40,fd00::c30c:0:0:1,-3.0,temperature,0,51
54:44,fd00::c30c:0:0:1,11.0,temperature,0,53
54:46,fd00::c30c:0:0:1,19.0,temperature,0,54
54:48,fd00::c30c:0:0:1,26.0,temperature,0,55
54:50,fd00::c30c:0:0:1,32.0,temperature,0,56
54:54,fd00::c30c:0:0:1,39.0,temperature,1,58
54:58,fd00::c30c:0:0:1,38.0,temperature,1,59
54:59,fd00::c30c:0:0:1,34.0,temperature,1,60
55:2,fd00::c30c:0:0:1,29.0,temperature,0,61
55:4,fd00::c30c:0:0:1,22.0,temperature,0,62
55:5,fd00::c30c:0:0:1,14.0,temperature,0,63
55:8,fd00::c30c:0:0:1,6.0,temperature,0,64
55:9,fd00::c30c:0:0:1,0.0,temperature,0,65
55:20,fd00::c30c:0:0:1,-17.0,temperature,0,68
55:24,fd00::c30c:0:0:1,-13.0,temperature,0,69
55:26,fd00::c30c:0:0:1,-7.0,temperature,0,70
55:28,fd00::c30c:0:0:1,0.0,temperature,0,71
