Time,IPAddress,Value,Type,Critic,Observe
35:54,fd00::c30c:0:0:1,-11.0,temperature,0,0
35:55,fd00::c30c:0:0:1,-16.0,temperature,0,2
36:7,fd00::c30c:0:0:1,-3.0,temperature,0,4
36:11,fd00::c30c:0:0:1,11.0,temperature,0,6
36:13,fd00::c30c:0:0:1,19.0,temperature,0,7
36:15,fd00::c30c:0:0:1,26.0,temperature,0,8
36:20,fd00::c30c:0:0:1,36.0,temperature,1,10
36:28,fd00::c30c:0:0:1,38.0,temperature,1,12
36:33,fd00::c30c:0:0:1,14.0,temperature,0,16
36:37,fd00::c30c:0:0:1,0.0,temperature,0,18
36:42,fd00::c30c:0:0:1,-13.0,temperature,0,20
36:53,fd00::c30c:0:0:1,-7.0,temperature,0,23
36:59,fd00::c30c:0:0:1,14.0,temperature,0,26
37:8,fd00::c30c:0:0:1,34.0,temperature,1,29
37:15,fd00::c30c:0:0:1,32.0,temperature,1,33
37:21,fd00::c30c:0:0:1,11.0,temperature,0,36
37:25,fd00::c30c:0:0:1,-4.0,temperature,0,38
37:52,fd00::c30c:0:0:1,2.0,temperature,0,46
37:56,fd00::c30c:0:0:1,-16.0,temperature,0,49
38:5,fd00::c30c:0:0:1,-10.0,temperature,0,50
38:10,fd00::c30c:0:0:1,3.0,temperature,0,52
38:21,fd00::c30c:0:0:1,36.0,temperature,1,57
38:25,fd00::c30c:0:0:1,38.0,temperature,1,59
38:29,fd00::c30c:0:0:1,29.0,temperature,0,61
38:31,fd00::c30c:0:0:1,22.0,temperature,0,62
38:37,fd00::c30c:0:0:1,0.0,temperature,0,65
38:39,fd00::c30c:0:0:1,-7.0,temperature,0,66
38:41,fd00::c30c:0:0:1,-13.0,temperature,0,67
38:55,fd00::c30c:0:0:1,0.0,temperature,0,71
38:57,fd00::c30c:0:0:1,6.0,temperature,0,72
38:59,fd00::c30c:0:0:1,14.0,temperature,0,73
39:17,fd00::c30c:0:0:1,32.0,temperature,1,80
39:19,fd00::c30c:0:0:1,19.0,temperature,0,82
39:27,fd00::c30c:0:0:1,-10.0,temperature,0,86
39:29,fd00::c30c:0:0:1,-15.0,temperature,0,87
39:33,fd00::c30c:0:0:1,-19.0,temperature,0,88
39:42,fd00::c30c:0:0:1,-5.0,temperature,0,90
39:54,fd00::c30c:0:0:1,-11.0,temperature,0,95
